date,bw-pt,bw-dt,by-pt,by-dt,hb-pt,hb-dt,hh-pt,hh-dt,he-pt,he-dt,ni-pt,ni-dt,nw-pt,nw-dt,rp-pt,rp-dt,sl-pt,sl-dt,sh-pt,sh-dt,bb-pt,bb-dt,mv-pt,mv-dt,sn-pt,sn-dt,st-pt,st-dt,th-pt,th-dt,be-pt,be-dt,de-pt,de-dt
2020-03-01,14,0,6,0,1,0,1,0,8,0,1,0,66,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0
2020-03-02,18,0,12,0,1,0,1,0,9,0,1,0,86,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,136,0
2020-03-03,25,0,22,0,1,0,2,0,9,0,1,0,101,0,2,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,3,0,174,0
2020-03-04,49,0,34,0,3,0,3,0,11,0,7,0,115,0,7,0,1,0,2,0,1,0,4,0,1,0,,,1,0,7,0,249,0
2020-03-05,72,0,56,0,3,0,5,0,13,0,18,0,181,0,8,0,1,0,7,0,1,0,4,0,1,0,,,1,0,12,0,387,0
2020-03-06,95,0,103,0,3,0,11,0,15,0,18,0,329,0,9,0,2,0,7,0,2,0,4,0,2,0,,,1,0,18,0,626,0
2020-03-07,167,0,120,0,3,0,12,0,15,0,18,0,373,0,12,0,3,0,8,0,2,0,4,0,4,0,,,2,0,27,0,781,0
2020-03-08,179,0,157,0,3,0,12,0,17,0,20,0,398,0,18,0,9,0,8,0,3,0,7,0,4,0,,,2,0,39,0,888,0
2020-03-09,200,0,241,0,3,0,15,0,23,0,37,0,483,2,18,0,9,0,10,0,5,0,8,0,12,0,,,2,0,47,0,1125,2
2020-03-10,233,0,298,0,3,0,26,0,31,0,48,0,483,2,26,0,9,0,10,0,7,0,11,0,22,0,7,0,4,0,47,0,1281,2
2020-03-11,273,0,350,0,20,0,46,0,44,0,73,0,483,3,26,0,16,0,28,0,22,0,14,0,25,0,15,0,9,0,89,0,1553,3
2020-03-12,448,1,484,1,37,0,88,0,94,0,127,0,687,3,53,0,16,0,31,0,27,0,20,0,44,0,27,0,13,0,135,0,2355,5
2020-03-13,448,1,542,1,40,0,98,0,143,0,228,0,934,3,103,0,41,0,48,0,41,0,30,0,82,0,42,0,28,0,172,0,3047,5
2020-03-14,562,2,665,1,47,0,159,0,197,0,250,0,1152,5,122,0,41,0,60,0,53,0,42,0,92,0,44,0,45,0,214,0,3776,8
2020-03-15,817,2,870,4,50,0,162,0,280,0,284,0,1405,5,169,0,41,0,103,0,54,0,47,0,128,0,46,0,50,0,262,0,4794,11
2020-03-16,1092,2,1051,4,52,0,264,0,336,0,388,0,1538,5,326,0,92,0,123,0,61,0,48,0,138,0,76,0,53,0,297,0,5965,11
2020-03-17,1462,2,1092,4,53,0,316,0,366,0,388,0,2102,6,443,0,92,0,126,0,69,0,48,0,180,0,76,0,53,0,342,0,7136,12
2020-03-18,1591,2,1226,4,65,0,365,0,425,0,541,0,2369,6,475,0,104,0,158,0,88,0,59,0,195,0,123,0,76,0,387,0,8179,12
2020-03-19,2131,6,1674,8,76,0,441,0,674,0,732,0,3029,6,638,0,115,0,200,0,129,0,101,0,272,0,158,0,100,0,569,0,10976,20
2020-03-20,2716,10,2383,12,116,0,601,0,805,1,865,0,3493,6,802,1,161,0,264,1,185,0,133,0,391,0,197,0,150,0,727,0,13932,31
2020-03-21,3628,16,2942,19,137,0,602,0,1072,2,1085,0,3538,6,938,1,201,0,306,1,246,0,167,0,564,0,205,1,188,0,862,1,16625,47
2020-03-22,3765,21,3631,21,159,0,898,0,1166,2,1367,1,3541,6,1053,2,201,0,344,1,266,0,173,0,602,0,228,0,217,0,1019,1,18582,55
2020-03-23,3769,21,4873,26,163,0,971,0,1338,3,1544,4,5611,28,1177,2,213,0,380,1,279,0,173,0,649,0,228,0,249,0,1072,1,22647,86
2020-03-24,5289,30,5735,30,176,0,1075,0,1610,4,1825,6,6313,33,1370,5,347,1,474,2,333,0,200,0,807,1,337,0,326,1,1215,1,27394,114
2020-03-25,6002,37,6538,37,193,0,1302,0,1744,4,2200,7,7192,43,1590,5,411,2,572,3,417,1,219,0,954,6,391,1,393,1,1422,2,31508,149
2020-03-26,7203,56,7973,47,204,1,1305,0,2147,6,2407,8,7918,53,1815,6,440,2,670,3,464,1,244,0,1136,7,433,1,467,3,1650,4,36447,198
2020-03-27,8072,70,9461,55,233,1,1749,2,2313,7,2870,10,9229,72,1970,8,509,2,806,4,523,1,259,0,1300,7,473,2,541,4,1949,8,42231,253
2020-03-28,9675,101,11130,77,252,2,1824,2,2593,9,3209,12,10601,80,2210,11,553,2,909,4,628,1,308,0,1426,9,473,2,582,5,2154,8,48507,325
2020-03-29,9687,101,12860,107,267,2,1908,4,2594,9,3509,21,11394,98,2394,12,563,2,999,6,701,1,347,1,1611,9,606,2,695,5,2353,9,52473,389
2020-03-30,10824,119,13968,127,277,2,2123,5,3079,13,3790,26,12171,101,2582,18,705,7,1042,7,740,2,354,1,1789,9,606,2,716,5,2457,11,57215,455
2020-03-31,12200,165,14788,162,285,4,2266,9,3271,17,4121,34,13218,117,2723,19,778,7,1112,9,775,2,364,1,1875,12,694,6,781,6,2568,13,61816,583
2020-04-01,13410,197,16497,225,311,5,2311,14,3445,21,4382,42,14351,134,2899,23,829,8,1246,10,881,4,406,3,2034,17,750,7,860,6,2754,16,67366,732
2020-04-02,14662,241,18496,268,327,6,2406,14,3707,27,4695,45,15427,161,3132,26,1020,11,1335,11,995,7,438,3,2183,18,804,8,925,7,2970,19,73522,872
2020-04-03,16059,285,20237,307,341,6,2596,16,3993,33,5081,65,16606,178,3362,26,1079,12,1443,15,1075,9,468,4,2336,21,836,11,982,9,3202,20,79696,1017
2020-04-04,17014,316,21908,349,354,6,2697,16,4279,42,5571,85,17885,200,3504,29,1265,14,1559,17,1211,12,501,5,2591,24,896,11,1072,10,3471,22,85778,1158
2020-04-05,18614,367,23846,396,394,6,2945,19,4575,56,5712,89,18735,245,3663,32,1358,14,1631,18,1305,17,523,5,2741,32,919,12,1140,10,3613,24,91714,1342
2020-04-06,19395,387,24974,437,397,8,2993,19,4674,61,5960,92,19384,255,3882,32,1483,14,1671,20,1345,19,528,6,2903,34,956,12,1176,12,3670,26,95391,1434
2020-04-07,20141,433,26163,481,399,9,3059,20,4837,73,6200,111,20220,282,3992,34,1532,16,1730,24,1384,20,531,8,2997,38,987,12,1208,18,3845,28,99225,1607
2020-04-08,20680,464,27564,564,424,10,3165,23,4965,84,6385,121,20929,348,4148,45,1637,23,1827,28,1472,22,555,11,3144,50,1020,16,1285,20,4028,32,103228,1861
2020-04-09,21603,519,28827,635,445,11,3320,44,5242,100,6804,141,21961,384,4336,50,1693,23,1932,34,1578,30,572,11,3261,52,1075,16,1351,20,4202,37,108202,2107
2020-04-10,22433,570,30363,703,454,13,3551,53,5694,111,7114,161,23028,446,4440,51,1854,36,2029,38,1691,37,586,11,3402,59,1121,18,1416,24,4349,42,113525,2373
2020-04-11,23617,622,31453,747,469,15,3663,56,5808,120,7343,171,23644,472,4622,59,2016,41,2065,39,1764,37,601,11,3565,65,1135,18,1435,25,4458,46,117658,2544
2020-04-12,24078,649,32282,786,480,15,3742,56,5859,123,7602,189,24267,495,4734,64,2058,43,2118,41,1857,38,605,11,3600,67,1166,21,1464,25,4567,50,120479,2673
2020-04-13,24570,677,33015,820,486,17,3770,56,6114,135,7723,201,24883,518,4810,68,2079,44,2134,44,1880,38,618,11,3655,68,1193,24,1485,27,4601,51,123016,2799
2020-04-14,25040,711,33569,872,492,20,3808,59,6183,147,7885,211,25300,545,4880,70,2112,52,2164,49,1916,40,619,11,3751,70,1207,25,1504,31,4668,56,125098,2969
2020-04-15,25438,767,34294,954,500,21,3869,67,6347,173,8019,224,25835,607,5004,77,2145,58,2245,54,1950,42,624,11,3819,73,1223,26,1550,38,4722,62,127584,3254
2020-04-16,25881,802,35142,1049,507,21,3953,80,6470,187,8188,248,26383,663,5087,87,2201,71,2294,55,2058,54,634,13,3955,94,1248,26,1601,45,4848,74,130450,3569
2020-04-17,26543,872,36027,1137,556,22,4005,84,6705,197,8442,274,27030,726,5211,92,2254,76,2349,59,2120,60,634,13,4048,95,1279,28,1682,49,4945,84,133830,3868
